CardRank,TrickNumber,PlayNumber,Wins,Plays,WinProbability
1,1,1,448,448,1
1,1,2,483,483,1
1,1,3,441,441,1
1,1,4,427,427,1
1,2,1,429,429,1
1,2,2,446,446,1
1,2,3,455,455,1
1,2,4,481,481,1
1,3,1,460,460,1
1,3,2,418,418,1
1,3,3,422,422,1
1,3,4,400,400,1
1,4,1,434,434,1
1,4,2,412,412,1
1,4,3,395,395,1
1,4,4,407,407,1
1,5,1,543,543,1
1,5,2,383,383,1
1,5,3,369,369,1
1,5,4,369,369,1
2,1,1,270,442,0.6109
2,1,2,313,478,0.6548
2,1,3,284,434,0.6544
2,1,4,324,484,0.6694
2,2,1,284,442,0.6425
2,2,2,297,434,0.6843
2,2,3,338,462,0.7316
2,2,4,306,437,0.7002
2,3,1,308,443,0.6953
2,3,2,275,386,0.7124
2,3,3,354,470,0.7532
2,3,4,323,430,0.7512
2,4,1,332,445,0.7461
2,4,2,305,390,0.7821
2,4,3,341,421,0.81
2,4,4,312,399,0.782
2,5,1,477,539,0.885
2,5,2,299,344,0.8692
2,5,3,316,371,0.8518
2,5,4,281,328,0.8567
3,1,1,146,444,0.3288
3,1,2,199,434,0.4585
3,1,3,241,516,0.4671
3,1,4,235,495,0.4747
3,2,1,161,428,0.3762
3,2,2,238,462,0.5152
3,2,3,230,458,0.5022
3,2,4,230,472,0.4873
3,3,1,201,428,0.4696
3,3,2,239,414,0.5773
3,3,3,256,441,0.5805
3,3,4,230,406,0.5665
3,4,1,288,475,0.6063
3,4,2,282,430,0.6558
3,4,3,236,386,0.6114
3,4,4,265,417,0.6355
3,5,1,364,495,0.7354
3,5,2,228,333,0.6847
3,5,3,245,357,0.6863
3,5,4,259,351,0.7379
4,1,1,50,400,0.125
4,1,2,149,460,0.3239
4,1,3,143,488,0.293
4,1,4,152,480,0.3167
4,2,1,106,468,0.2265
4,2,2,169,442,0.3824
4,2,3,158,441,0.3583
4,2,4,162,445,0.364
4,3,1,127,430,0.2953
4,3,2,210,469,0.4478
4,3,3,157,375,0.4187
4,3,4,185,468,0.3953
4,4,1,202,472,0.428
4,4,2,203,399,0.5088
4,4,3,203,375,0.5413
4,4,4,206,428,0.4813
4,5,1,343,494,0.6943
4,5,2,220,360,0.6111
4,5,3,205,352,0.5824
4,5,4,207,362,0.5718
5,1,1,29,408,0.0711
5,1,2,105,459,0.2288
5,1,3,115,475,0.2421
5,1,4,113,476,0.2374
5,2,1,50,424,0.1179
5,2,2,143,458,0.3122
5,2,3,139,455,0.3055
5,2,4,146,495,0.2949
5,3,1,79,433,0.1824
5,3,2,157,437,0.3593
5,3,3,151,423,0.357
5,3,4,142,422,0.3365
5,4,1,184,452,0.4071
5,4,2,163,407,0.4005
5,4,3,188,420,0.4476
5,4,4,180,426,0.4225
5,5,1,292,496,0.5887
5,5,2,165,354,0.4661
5,5,3,169,343,0.4927
5,5,4,168,369,0.4553
6,1,1,0,455,0
6,1,2,93,458,0.2031
6,1,3,113,445,0.2539
6,1,4,104,478,0.2176
6,2,1,22,463,0.0475
6,2,2,113,415,0.2723
6,2,3,139,469,0.2964
6,2,4,127,467,0.2719
6,3,1,64,482,0.1328
6,3,2,135,425,0.3176
6,3,3,118,416,0.2837
6,3,4,124,418,0.2967
6,4,1,123,417,0.295
6,4,2,133,430,0.3093
6,4,3,144,431,0.3341
6,4,4,139,384,0.362
6,5,1,270,512,0.5273
6,5,2,142,338,0.4201
6,5,3,158,391,0.4041
6,5,4,161,378,0.4259
7,1,1,0,441,0
7,1,2,105,472,0.2225
7,1,3,94,449,0.2094
7,1,4,109,470,0.2319
7,2,1,15,448,0.0335
7,2,2,118,474,0.2489
7,2,3,101,425,0.2376
7,2,4,100,429,0.2331
7,3,1,43,467,0.0921
7,3,2,106,427,0.2482
7,3,3,114,427,0.267
7,3,4,110,429,0.2564
7,4,1,102,482,0.2116
7,4,2,113,398,0.2839
7,4,3,122,389,0.3136
7,4,4,110,395,0.2785
7,5,1,241,515,0.468
7,5,2,108,317,0.3407
7,5,3,123,385,0.3195
7,5,4,127,360,0.3528
8,1,1,605,865,0.6994
8,1,2,485,845,0.574
8,1,3,480,804,0.597
8,1,4,480,829,0.579
8,2,1,572,855,0.669
8,2,2,414,829,0.4994
8,2,3,430,867,0.496
8,2,4,437,895,0.4883
8,3,1,520,863,0.6025
8,3,2,361,816,0.4424
8,3,3,375,878,0.4271
8,3,4,380,884,0.4299
8,4,1,477,851,0.5605
8,4,2,266,874,0.3043
8,4,3,256,867,0.2953
8,4,4,251,838,0.2995
8,5,1,381,789,0.4829
8,5,2,122,914,0.1335
8,5,3,132,885,0.1492
8,5,4,154,969,0.1589
10,1,1,263,420,0.6262
10,1,2,164,324,0.5062
10,1,3,208,396,0.5253
10,1,4,223,413,0.54
10,2,1,258,432,0.5972
10,2,2,184,434,0.424
10,2,3,193,413,0.4673
10,2,4,181,389,0.4653
10,3,1,288,475,0.6063
10,3,2,153,425,0.36
10,3,3,177,465,0.3806
10,3,4,159,456,0.3487
10,4,1,232,435,0.5333
10,4,2,124,471,0.2633
10,4,3,130,459,0.2832
10,4,4,121,480,0.2521
10,5,1,178,412,0.432
10,5,2,67,462,0.145
10,5,3,79,472,0.1674
10,5,4,63,448,0.1406
11,1,1,334,882,0.3787
11,1,2,246,902,0.2727
11,1,3,241,846,0.2849
11,1,4,259,869,0.298
11,2,1,278,823,0.3378
11,2,2,226,839,0.2694
11,2,3,206,888,0.232
