CardRank,TrickNumber,PlayNumber,Wins,Plays,WinProbability
1,1,1,2201,2201,1
1,1,2,118,118,1
1,1,3,80,80,1
1,1,4,94,94,1
1,2,1,1610,1610,1
1,2,2,125,125,1
1,2,3,116,116,1
1,2,4,91,91,1
1,3,1,1269,1269,1
1,3,2,141,141,1
1,3,3,162,162,1
1,3,4,132,132,1
1,4,1,956,956,1
1,4,2,193,193,1
1,4,3,185,185,1
1,4,4,219,219,1
1,5,1,397,397,1
1,5,2,70,70,1
1,5,3,211,211,1
1,5,4,210,210,1
2,1,1,0,0,0
2,1,2,131,302,0.4338
2,1,3,76,250,0.304
2,1,4,105,269,0.3903
2,2,1,367,377,0.9735
2,2,2,210,346,0.6069
2,2,3,141,270,0.5222
2,2,4,164,291,0.5636
2,3,1,562,603,0.932
2,3,2,287,438,0.6553
2,3,3,187,309,0.6052
2,3,4,256,373,0.6863
2,4,1,745,855,0.8713
2,4,2,362,490,0.7388
2,4,3,317,451,0.7029
2,4,4,370,472,0.7839
2,5,1,845,927,0.9115
2,5,2,365,426,0.8568
2,5,3,537,610,0.8803
2,5,4,463,529,0.8752
3,1,1,0,0,0
3,1,2,172,397,0.4332
3,1,3,66,281,0.2349
3,1,4,121,315,0.3841
3,2,1,110,115,0.9565
3,2,2,231,443,0.5214
3,2,3,119,313,0.3802
3,2,4,184,377,0.4881
3,3,1,184,214,0.8598
3,3,2,270,474,0.5696
3,3,3,177,391,0.4527
3,3,4,249,434,0.5737
3,4,1,368,541,0.6802
3,4,2,314,530,0.5925
3,4,3,283,525,0.539
3,4,4,374,570,0.6561
3,5,1,657,924,0.711
3,5,2,334,542,0.6162
3,5,3,416,630,0.6603
3,5,4,390,598,0.6522
4,1,1,0,0,0
4,1,2,260,518,0.5019
4,1,3,105,353,0.2975
4,1,4,180,432,0.4167
4,2,1,17,17,1
4,2,2,256,526,0.4867
4,2,3,126,388,0.3247
4,2,4,218,455,0.4791
4,3,1,87,107,0.8131
4,3,2,289,578,0.5
4,3,3,177,416,0.4255
4,3,4,304,497,0.6117
4,4,1,189,308,0.6136
4,4,2,290,583,0.4974
4,4,3,232,543,0.4273
4,4,4,354,597,0.593
4,5,1,445,695,0.6403
4,5,2,225,527,0.4269
