CardRank,TrickNumber,Wins,Plays,WinProbability
1,1,2493,2493,1
1,2,1942,1942,1
1,3,1704,1704,1
1,4,1553,1553,1
1,5,888,888,1
2,1,312,821,0.38
2,2,882,1284,0.6869
2,3,1292,1723,0.7499
2,4,1794,2268,0.791
2,5,2210,2492,0.8868
3,1,359,993,0.3615
3,2,644,1248,0.516
3,3,880,1513,0.5816
3,4,1339,2166,0.6182
3,5,1797,2694,0.667
4,1,545,1303,0.4183
4,2,617,1386,0.4452
4,3,857,1598,0.5363
4,4,1065,2031,0.5244
4,5,1220,2250,0.5422
5,1,635,1632,0.3891
5,2,751,1661,0.4521
5,3,786,1648,0.4769
5,4,725,1740,0.4167
5,5,851,1852,0.4595
6,1,843,2153,0.3915
6,2,715,1752,0.4081
6,3,745,1721,0.4329
6,4,583,1656,0.3521
6,5,479,1324,0.3618
7,1,948,2512,0.3774
7,2,843,2011,0.4192
7,3,690,1773,0.3892
7,4,389,1363,0.2854
7,5,263,931,0.2825
8,1,2904,4899,0.5928
8,2,2418,4006,0.6036
8,3,1828,3191,0.5729
8,4,1153,2207,0.5224
8,5,724,2949,0.2455
10,1,807,1695,0.4761
10,2,884,1917,0.4611
10,3,753,1718,0.4383
10,4,666,1475,0.4515
10,5,470,1848,0.2543
11,1,366,3180,0.1151
11,2,460,3342,0.1376
11,3,499,3277,0.1523
11,4,499,3528,0.1414
11,5,450,3902,0.1153
13,1,73,1214,0.0601
13,2,99,1516,0.0653
13,3,124,1689,0.0734
13,4,163,1977,0.0824
13,5,185,2222,0.0833
14,1,28,2733,0.0102
14,2,54,3007,0.018
14,3,97,3428,0.0283
14,4,205,3880,0.0528
14,5,267,4168,0.0641
16,1,1,1067,0.0009
16,2,4,1485,0.0027
16,3,24,1809,0.0133
16,4,51,2045,0.0249
16,5,108,2154,0.0501
17,1,2,2882,0.0007
17,2,2,3195,0.0006
17,3,28,3534,0.0079
17,4,73,3866,0.0189
17,5,134,3750,0.0357
19,1,0,3570,0
19,2,0,3572,0
19,3,5,3676,0.0014
19,4,25,3421,0.0073
19,5,90,2917,0.0309
21,1,0,1407,0
21,2,1,1703,0.0006
21,3,4,1921,0.0021
21,4,16,1918,0.0083
21,5,69,1693,0.0408
22,1,0,4685,0
22,2,0,4165,0
22,3,0,3484,0
22,4,12,2716,0.0044
22,5,69,2078,0.0332
24,1,0,2025,0
24,2,0,2072,0
24,3,0,1857,0
24,4,5,1454,0.0034
24,5,42,1152,0.0365
