Game Number,Deal Number,Player Number,Team Number,Play Style,Tricks Won,Games Won,Trump in Hand,Bowers in Hand,Suits in Hand,Aces in Hand,Trick 1 Play 1s,Average Rank,Craig Score,Ryan Score,Probability Score,Average Rank Pred,Ryan Pred,Probability Pred,Gradient Pred,Regression Pred,Card 1 Rank,Card 2 Rank,Card 3 Rank,Card 4 Rank,Card 5 Rank
1,1,1,1,STANDARD,2,1,2,1,3,1,0,9.8,1.75,0.513,0.407,1.531,2.565,2.035,2.23,2.0,1,7,8,11,22
1,1,2,2,STANDARD,2,0,1,1,4,0,1,13.6,1,0.242,0.185,1.103,1.21,0.925,0.519,1.0,2,11,16,17,22
1,1,3,1,STANDARD,1,1,2,0,3,0,0,11.8,0,0.344,0.205,1.271,1.72,1.025,1.315,1.0,4,5,14,17,19
1,1,4,2,STANDARD,0,0,1,0,3,1,0,13.2,0.75,0.296,0.22,1.136,1.48,1.1,0.591,1.0,3,10,13,19,21
1,2,1,1,STANDARD,1,1,2,0,4,0,0,12.8,0,0.288,0.212,1.172,1.44,1.06,1.315,1.0,3,7,13,19,22
1,2,2,2,STANDARD,2,0,2,1,2,0,0,10.0,2,0.513,0.268,1.5,2.565,1.34,1.736,2.0,2,6,11,14,17
1,2,3,1,STANDARD,1,1,0,0,2,1,1,14.6,1.75,0.144,0.117,1.027,0.72,0.585,0.591,0.0,10,11,16,17,19
1,2,4,2,STANDARD,1,0,1,0,4,1,0,14.4,0.75,0.236,0.201,1.042,1.18,1.005,0.591,0.0,5,8,14,21,24
1,3,1,1,STANDARD,4,1,2,1,2,1,0,7.4,2.75,0.689,0.454,2.027,3.445,2.27,2.23,4.0,1,3,8,11,14
1,3,2,2,STANDARD,0,0,1,0,4,1,0,13.2,0.75,0.216,0.188,1.136,1.08,0.94,0.591,0.0,4,10,16,17,19
1,3,3,1,STANDARD,1,1,2,1,3,0,0,11.0,1,0.412,0.272,1.364,2.06,1.36,1.736,1.0,2,7,11,13,22
1,3,4,2,STANDARD,0,0,1,0,4,0,1,17.0,0,0.112,0.087,0.882,0.56,0.435,0.098,0.0,6,17,19,21,22
1,4,1,1,STANDARD,1,1,1,0,4,1,1,12.6,0.75,0.284,0.241,1.19,1.42,1.205,0.591,1.0,3,8,13,17,22
1,4,2,2,STANDARD,1,0,1,1,4,1,0,11.2,1.75,0.336,0.288,1.339,1.68,1.44,1.506,1.0,2,8,11,16,19
1,4,3,1,STANDARD,0,1,1,0,4,0,0,18.4,0,0.104,0.086,0.815,0.52,0.43,0.098,0.0,6,19,21,22,24
1,4,4,2,STANDARD,3,0,2,1,4,1,0,9.4,1.75,0.433,0.38,1.596,2.165,1.9,2.23,2.0,1,5,10,14,17
1,5,1,1,STANDARD,1,1,1,0,4,1,0,13.6,0.75,0.249,0.208,1.103,1.245,1.04,0.591,0.0,4,10,11,19,24
1,5,2,2,STANDARD,2,0,3,0,3,0,1,10.2,1.25,0.435,0.269,1.471,2.175,1.345,2.427,2.0,5,6,7,14,19
1,5,3,1,STANDARD,2,1,2,2,4,0,0,12.0,1,0.433,0.418,1.25,2.165,2.09,1.736,2.0,1,2,13,22,22
1,5,4,2,STANDARD,0,0,1,0,3,1,0,11.8,0.75,0.334,0.234,1.271,1.67,1.17,0.591,1.0,3,8,14,17,17
1,6,1,1,STANDARD,2,1,3,1,3,1,0,7.8,3.0,0.555,0.41,1.923,2.775,2.05,3.343,3.0,2,6,7,10,14
1,6,2,2,STANDARD,2,0,3,1,3,0,0,10.0,2.25,0.58,0.406,1.5,2.9,2.03,2.849,3.0,1,3,5,19,22
1,6,3,1,STANDARD,1,1,1,0,3,1,1,10.6,0.75,0.369,0.245,1.415,1.845,1.225,0.591,1.0,4,8,11,13,17
1,6,4,2,STANDARD,0,0,0,0,2,1,0,16.4,1.75,0.162,0.135,0.915,0.81,0.675,0.591,0.0,8,11,17,22,24
1,7,1,1,STANDARD,1,1,1,0,3,1,0,12.6,0.75,0.31,0.206,1.19,1.55,1.03,0.591,1.0,5,8,14,14,22
1,7,2,2,STANDARD,0,0,2,0,4,0,0,10.8,0,0.342,0.225,1.389,1.71,1.125,1.315,1.0,4,7,11,11,21
1,7,3,1,STANDARD,2,1,2,1,3,0,0,11.8,1,0.435,0.323,1.271,2.175,1.615,1.736,2.0,1,3,17,19,19
1,7,4,2,STANDARD,2,0,1,1,3,1,1,12.6,1.75,0.362,0.279,1.19,1.81,1.395,1.506,1.0,2,8,13,16,24
2,1,1,1,STANDARD,1,1,1,0,2,1,0,12.2,1.75,0.419,0.233,1.23,2.095,1.165,0.591,1.0,3,8,14,17,19
2,1,2,2,STANDARD,1,0,2,1,3,0,1,13.4,1,0.362,0.243,1.119,1.81,1.215,1.736,1.0,2,6,14,21,24
2,1,3,1,STANDARD,3,1,3,1,3,0,0,9.2,2.25,0.565,0.389,1.63,2.825,1.945,2.849,3.0,1,5,7,11,22
2,1,4,2,STANDARD,0,0,0,0,3,1,0,15.2,0.75,0.169,0.136,0.987,0.845,0.68,0.591,0.0,8,11,16,19,22
2,2,1,1,STANDARD,0,1,1,0,4,0,0,15.0,0,0.177,0.12,1.0,0.885,0.6,0.098,0.0,7,11,13,22,22
2,2,2,2,STANDARD,3,0,2,1,3,1,0,10.6,1.75,0.448,0.368,1.415,2.24,1.84,2.23,2.0,1,6,10,17,19
2,2,3,1,STANDARD,1,1,0,0,3,1,1,15.2,0.75,0.146,0.119,0.987,0.73,0.595,0.591,0.0,8,14,16,17,21
2,2,4,2,STANDARD,1,0,2,1,4,0,0,12.2,1,0.357,0.268,1.23,1.785,1.34,1.736,1.0,2,5,11,19,24
2,3,1,1,STANDARD,0,1,1,0,3,0,0,15.0,0,0.202,0.097,1.0,1.01,0.485,0.098,0.0,6,14,14,19,22
2,3,2,2,STANDARD,0,0,1,0,4,1,0,16.0,0.75,0.166,0.164,0.938,0.83,0.82,0.591,0.0,7,10,17,22,24
2,3,3,1,STANDARD,0,1,0,0,3,1,0,14.4,0.75,0.19,0.149,1.042,0.95,0.745,0.591,0.0,8,11,13,19,21
2,3,4,2,STANDARD,5,0,4,1,2,1,1,4.4,4.0,0.931,0.714,3.409,4.655,3.57,3.343,4.0,2,3,4,5,8
2,4,1,1,STANDARD,1,1,2,0,3,1,1,11.4,0.75,0.391,0.273,1.316,1.955,1.365,1.315,1.0,5,7,10,11,24
2,4,2,2,STANDARD,2,0,2,2,3,0,0,11.4,1,0.504,0.428,1.316,2.52,2.14,1.736,2.0,1,2,11,21,22
2,4,3,1,STANDARD,2,1,2,0,3,1,0,8.4,0.75,0.5,0.362,1.786,2.5,1.81,1.315,2.0,3,4,8,13,14
2,4,4,2,STANDARD,0,0,0,0,2,0,0,18.2,1,0.039,0.014,0.824,0.195,0.07,0.098,0.0,14,17,19,19,22
2,5,1,1,STANDARD,0,1,0,0,2,1,0,17.2,1.75,0.091,0.093,0.872,0.455,0.465,0.591,0.0,10,16,17,19,24
2,5,2,2,STANDARD,3,0,1,0,4,2,1,8.8,0.75,0.411,0.347,1.705,2.055,1.735,1.153,1.0,4,8,8,11,13
2,5,3,1,STANDARD,1,1,2,1,4,0,0,12.6,1,0.358,0.296,1.19,1.79,1.48,1.736,1.0,1,5,14,21,22
2,5,4,2,STANDARD,1,0,2,1,3,0,0,11.0,1,0.415,0.266,1.364,2.075,1.33,1.736,1.0,2,6,11,14,22
2,6,1,1,STANDARD,3,1,3,1,3,1,0,7.6,3.0,0.615,0.462,1.974,3.075,2.31,3.343,3.0,1,4,6,10,17
2,6,2,2,STANDARD,0,0,1,0,4,0,0,17.0,0,0.168,0.127,0.882,0.84,0.635,0.098,0.0,3,14,22,22,24
2,6,3,1,STANDARD,2,1,1,1,4,1,1,11.2,1.75,0.346,0.291,1.339,1.73,1.455,1.506,1.0,2,8,11,14,21
2,6,4,2,STANDARD,0,0,0,0,2,1,0,14.8,1.75,0.168,0.136,1.014,0.84,0.68,0.591,0.0,8,11,17,19,19
2,7,1,1,STANDARD,1,1,1,1,3,1,0,13.0,1.75,0.345,0.266,1.154,1.725,1.33,1.506,1.0,2,8,14,19,22
2,7,2,2,STANDARD,1,0,1,1,3,1,0,13.6,1.75,0.338,0.291,1.103,1.69,1.455,1.506,1.0,1,10,16,17,24
2,7,3,1,STANDARD,2,1,2,0,4,0,0,9.0,0,0.392,0.261,1.667,1.96,1.305,1.315,1.0,3,7,11,11,13
2,7,4,2,STANDARD,1,0,2,0,3,0,1,11.8,0,0.344,0.205,1.271,1.72,1.025,1.315,1.0,4,5,14,17,19
2,8,1,1,STANDARD,0,1,0,0,2,0,1,15.6,1,0.111,0.043,0.962,0.555,0.215,0.098,0.0,11,14,14,17,22
2,8,2,2,STANDARD,1,0,0,0,3,3,0,14.4,0.75,0.267,0.294,1.042,1.335,1.47,1.153,2.0,8,8,10,22,24
2,8,3,1,STANDARD,4,1,4,2,2,0,0,6.4,3.25,0.888,0.678,2.344,4.44,3.39,2.849,4.0,1,2,3,7,19
2,8,4,2,STANDARD,0,0,1,0,4,0,0,14.8,0,0.17,0.119,1.014,0.85,0.595,0.098,0.0,4,13,17,19,21
3,1,1,1,STANDARD,0,0,1,0,4,0,0,14.6,0,0.229,0.161,1.027,1.145,0.805,0.098,0.0,3,11,13,22,24
3,1,2,2,STANDARD,4,1,3,2,2,1,1,6.8,4.0,0.788,0.587,2.206,3.94,2.935,3.343,4.0,1,2,6,8,17
3,1,3,1,STANDARD,0,0,2,0,2,1,0,10.4,1.75,0.501,0.286,1.442,2.505,1.43,1.315,2.0,4,7,8,14,19
3,1,4,2,STANDARD,1,1,0,0,3,1,0,14.8,0.75,0.153,0.119,1.014,0.765,0.595,0.591,0.0,10,11,14,17,22
3,2,1,1,STANDARD,2,0,2,0,4,2,0,9.0,0.75,0.4,0.355,1.667,2.0,1.775,1.877,2.0,6,7,8,10,14
3,2,2,2,STANDARD,1,1,1,0,3,0,0,16.0,0,0.208,0.124,0.938,1.04,0.62,0.098,0.0,3,17,19,19,22
3,2,3,1,STANDARD,0,0,1,0,4,0,1,15.4,0,0.191,0.128,0.974,0.955,0.64,0.098,0.0,4,11,16,22,24
3,2,4,2,STANDARD,2,1,1,1,4,0,0,12.0,1,0.311,0.251,1.25,1.555,1.255,0.519,1.0,1,11,13,14,21
3,3,1,1,STANDARD,2,0,1,0,4,2,0,12.4,0.75,0.313,0.307,1.21,1.565,1.535,1.153,1.0,3,8,10,19,22
3,3,2,2,STANDARD,1,1,1,1,4,0,0,14.0,1,0.27,0.232,1.071,1.35,1.16,0.519,1.0,1,11,17,17,24
3,3,3,1,STANDARD,0,0,1,0,3,0,0,16.0,0,0.179,0.09,0.938,0.895,0.45,0.098,0.0,7,14,16,21,22
3,3,4,2,STANDARD,2,1,1,1,4,1,1,11.2,1.75,0.327,0.282,1.339,1.635,1.41,1.506,1.0,2,8,13,14,19
3,4,1,1,STANDARD,2,0,1,1,3,1,1,12.2,1.75,0.379,0.312,1.23,1.895,1.56,1.506,1.0,1,10,11,17,22
3,4,2,2,STANDARD,1,1,2,0,4,1,0,9.8,0.75,0.393,0.315,1.531,1.965,1.575,1.315,2.0,4,5,8,13,19
3,4,3,1,STANDARD,0,0,1,0,4,0,0,16.2,0,0.125,0.088,0.926,0.625,0.44,0.098,0.0,7,14,17,21,22
3,4,4,2,STANDARD,2,1,2,0,3,0,0,12.6,0,0.35,0.21,1.19,1.75,1.05,1.315,1.0,3,6,14,16,24
3,5,1,1,STANDARD,0,0,1,1,4,1,0,10.2,1.75,0.336,0.275,1.471,1.68,1.375,1.506,1.0,2,10,11,14,14
3,5,2,2,STANDARD,1,1,2,1,4,0,1,12.0,1,0.371,0.304,1.25,1.855,1.52,1.736,1.0,1,4,16,17,22
3,5,3,1,STANDARD,3,0,3,0,3,1,0,8.4,2.0,0.556,0.386,1.786,2.78,1.93,2.427,2.0,3,5,7,8,19
3,5,4,2,STANDARD,1,1,1,0,4,0,0,13.2,0,0.197,0.126,1.136,0.985,0.63,0.098,0.0,6,11,13,17,19
3,6,1,1,STANDARD,2,0,2,1,3,2,0,9.4,1.75,0.567,0.485,1.596,2.835,2.425,2.23,3.0,1,4,8,10,24
3,6,2,2,STANDARD,2,1,3,1,2,1,0,8.0,4.0,0.734,0.497,1.875,3.67,2.485,3.343,3.0,2,3,5,8,22
3,6,3,1,STANDARD,0,0,0,0,3,0,1,14.6,0,0.135,0.058,1.027,0.675,0.29,0.098,0.0,11,13,14,14,21
3,6,4,2,STANDARD,1,1,1,0,4,0,0,13.8,0,0.177,0.114,1.087,0.885,0.57,0.098,0.0,6,11,16,17,19
3,7,1,1,STANDARD,3,0,3,1,3,0,0,10.8,2.25,0.55,0.396,1.389,2.75,1.98,2.849,2.0,1,3,7,21,22
3,7,2,2,STANDARD,0,1,1,1,4,1,0,11.2,1.75,0.336,0.288,1.339,1.68,1.44,1.506,1.0,2,8,11,16,19
3,7,3,1,STANDARD,1,0,0,0,3,1,0,16.4,0.75,0.108,0.097,0.915,0.54,0.485,0.591,0.0,10,14,17,17,24
3,7,4,2,STANDARD,1,1,2,0,3,0,1,12.0,0,0.338,0.198,1.25,1.69,0.99,1.315,1.0,5,6,13,14,22
3,8,1,1,STANDARD,2,0,1,0,4,1,1,13.4,0.75,0.22,0.188,1.119,1.1,0.94,0.591,0.0,7,10,11,17,22
3,8,2,2,STANDARD,0,1,1,1,4,0,0,14.8,1,0.206,0.174,1.014,1.03,0.87,0.519,1.0,2,13,19,19,21
3,8,3,1,STANDARD,3,0,3,1,3,1,0,6.0,3.0,0.72,0.581,2.5,3.6,2.905,3.343,4.0,1,3,4,8,14
3,8,4,2,STANDARD,0,1,1,0,4,0,0,16.4,0,0.144,0.099,0.915,0.72,0.495,0.098,0.0,5,14,17,22,24
3,9,1,1,STANDARD,2,0,1,0,4,2,0,10.8,0.75,0.396,0.352,1.389,1.98,1.76,1.153,2.0,3,8,8,11,24
3,9,2,2,STANDARD,2,1,2,0,3,0,1,13.4,0,0.281,0.168,1.119,1.405,0.84,1.315,1.0,6,7,16,17,21
3,9,3,1,STANDARD,1,0,1,1,3,0,0,15.6,1,0.265,0.207,0.962,1.325,1.035,0.519,1.0,1,17,19,19,22
3,9,4,2,STANDARD,0,1,1,0,4,1,0,10.8,0.75,0.28,0.21,1.389,1.4,1.05,0.591,0.0,5,10,11,14,14
3,10,1,1,STANDARD,2,0,1,0,4,1,0,13.4,0.75,0.253,0.21,1.119,1.265,1.05,0.591,0.0,7,8,11,17,24
3,10,2,2,STANDARD,0,1,2,0,3,0,0,12.2,0,0.333,0.189,1.23,1.665,0.945,1.315,1.0,4,6,14,16,21
3,10,3,1,STANDARD,0,0,0,0,3,2,1,15.0,0.75,0.2,0.206,1.0,1.0,1.03,1.153,1.0,8,10,13,22,22
3,10,4,2,STANDARD,3,1,3,2,2,0,0,7.2,3.25,0.758,0.515,2.083,3.79,2.575,2.849,3.0,1,2,5,11,17
4,1,1,1,STANDARD,1,0,1,1,3,0,0,15.4,1,0.287,0.214,0.974,1.435,1.07,0.519,1.0,1,14,16,22,24
4,1,2,2,STANDARD,3,1,2,0,3,1,1,10.4,0.75,0.384,0.266,1.442,1.92,1.33,1.315,1.0,4,7,10,14,17
4,1,3,1,STANDARD,1,0,1,0,4,1,0,13.0,0.75,0.257,0.213,1.154,1.285,1.065,0.591,1.0,6,8,11,19,21
4,1,4,2,STANDARD,0,1,1,0,4,0,0,14.0,0,0.2,0.131,1.071,1.0,0.655,0.098,0.0,5,11,13,19,22
4,2,1,1,STANDARD,1,0,1,0,3,1,0,11.4,0.75,0.331,0.223,1.316,1.655,1.115,0.591,1.0,4,10,11,13,19
4,2,2,2,STANDARD,2,1,2,0,3,0,0,13.2,0,0.325,0.203,1.136,1.625,1.015,1.315,1.0,3,6,17,19,21
4,2,3,1,STANDARD,0,0,1,0,4,0,1,16.2,0,0.14,0.093,0.926,0.7,0.465,0.098,0.0,7,14,14,22,24
4,2,4,2,STANDARD,2,1,1,0,3,2,0,10.8,0.75,0.415,0.322,1.389,2.075,1.61,1.153,2.0,5,8,8,11,22
4,3,1,1,STANDARD,0,0,0,0,3,1,0,15.0,0.75,0.157,0.121,1.0,0.785,0.605,0.591,0.0,10,11,14,16,24
4,3,2,2,STANDARD,2,1,2,2,3,0,0,10.6,1,0.512,0.429,1.415,2.56,2.145,1.736,2.0,1,2,11,17,22
4,3,3,1,STANDARD,2,0,1,0,3,2,0,10.6,0.75,0.402,0.314,1.415,2.01,1.57,1.153,1.0,4,8,8,14,19
4,3,4,2,STANDARD,1,1,2,0,4,0,1,13.0,0,0.25,0.18,1.154,1.25,0.9,1.315,0.0,6,7,13,17,22
4,4,1,1,STANDARD,1,0,1,1,3,0,1,14.0,1,0.315,0.231,1.071,1.575,1.155,0.519,1.0,1,11,17,19,22
4,4,2,2,STANDARD,3,1,3,0,3,1,0,6.6,2.0,0.623,0.44,2.273,3.115,2.2,2.427,3.0,3,4,7,8,11
4,4,3,1,STANDARD,1,0,2,1,3,0,0,12.8,1,0.375,0.249,1.172,1.875,1.245,1.736,1.0,2,5,14,21,22
4,4,4,2,STANDARD,0,1,1,0,4,0,0,15.2,0,0.16,0.107,0.987,0.8,0.535,0.098,0.0,6,13,14,19,24
4,5,1,1,STANDARD,0,0,1,1,4,1,0,15.4,1.75,0.237,0.24,0.974,1.185,1.2,1.506,1.0,2,10,19,22,24
4,5,2,2,STANDARD,2,1,2,0,4,1,1,8.6,0.75,0.433,0.332,1.744,2.165,1.66,1.315,2.0,3,5,8,13,14
4,5,3,1,STANDARD,1,0,1,0,3,1,0,13.8,0.75,0.278,0.194,1.087,1.39,0.97,0.591,1.0,6,8,14,19,22
4,5,4,2,STANDARD,2,1,3,1,2,0,0,8.0,3.25,0.679,0.401,1.875,3.395,2.005,2.849,3.0,1,4,7,11,17
4,6,1,1,STANDARD,0,0,1,0,4,1,0,11.8,0.75,0.285,0.222,1.271,1.425,1.11,0.591,1.0,5,10,11,11,22
4,6,2,2,STANDARD,1,1,1,0,4,0,0,13.6,0,0.213,0.146,1.103,1.065,0.73,0.098,0.0,3,13,14,16,22
4,6,3,1,STANDARD,2,0,0,0,3,2,1,14.2,0.75,0.217,0.215,1.056,1.085,1.075,1.153,1.0,8,8,17,17,21
4,6,4,2,STANDARD,2,1,2,0,3,0,0,13.0,0,0.289,0.171,1.154,1.445,0.855,1.315,1.0,6,7,14,19,19
4,7,1,1,STANDARD,4,0,3,1,3,1,0,6.4,3.0,0.66,0.506,2.344,3.3,2.53,3.343,3.0,2,3,6,8,13
4,7,2,2,STANDARD,1,1,2,0,3,0,0,10.6,0,0.37,0.208,1.415,1.85,1.04,1.315,1.0,4,7,11,14,17
4,7,3,1,STANDARD,0,0,1,0,4,2,0,10.6,0.75,0.334,0.301,1.415,1.67,1.505,1.153,1.0,5,8,10,11,19
4,7,4,2,STANDARD,0,1,0,0,3,0,1,20.2,0,0.021,0.01,0.743,0.105,0.05,0.098,0.0,16,17,22,22,24
4,8,1,1,STANDARD,0,0,1,1,4,0,1,14.0,1,0.233,0.184,1.071,1.165,0.92,0.519,1.0,2,11,17,19,21
4,8,2,2,STANDARD,1,1,1,0,4,1,0,13.2,0.75,0.261,0.22,1.136,1.305,1.1,0.591,1.0,4,8,13,19,22
4,8,3,1,STANDARD,1,0,1,0,3,1,0,12.6,0.75,0.323,0.22,1.19,1.615,1.1,0.591,1.0,5,8,11,17,22
4,8,4,2,STANDARD,3,1,2,1,3,1,0,9.6,1.75,0.463,0.371,1.562,2.315,1.855,2.23,2.0,1,7,10,14,16
4,9,1,1,STANDARD,0,0,1,0,4,0,0,14.0,0,0.183,0.12,1.071,0.915,0.6,0.098,0.0,5,11,16,19,19
4,9,2,2,STANDARD,1,1,1,0,4,1,1,14.0,0.75,0.191,0.17,1.071,0.955,0.85,0.591,0.0,7,10,14,17,22
4,9,3,1,STANDARD,1,0,1,0,4,1,0,12.0,0.75,0.3,0.246,1.25,1.5,1.23,0.591,1.0,3,8,13,14,22
4,9,4,2,STANDARD,3,1,2,2,4,1,0,10.4,1.75,0.508,0.508,1.442,2.54,2.54,2.23,3.0,1,2,8,17,24
5,1,1,1,STANDARD,2,0,2,1,3,0,0,9.8,1,0.456,0.315,1.531,2.28,1.575,1.736,2.0,1,6,11,14,17
5,1,2,2,STANDARD,2,1,2,1,4,2,1,7.6,1.75,0.508,0.443,1.974,2.54,2.215,2.23,2.0,2,4,8,10,14
5,1,3,1,STANDARD,1,0,0,0,3,1,0,17.2,0.75,0.121,0.114,0.872,0.605,0.57,0.591,0.0,8,16,17,21,24
5,1,4,2,STANDARD,0,1,1,0,4,0,0,14.2,0,0.229,0.161,1.056,1.145,0.805,0.098,0.0,3,11,13,22,22
5,2,1,1,STANDARD,1,0,2,1,3,0,0,10.8,1,0.478,0.331,1.389,2.39,1.655,1.736,2.0,1,4,11,14,24
5,2,2,2,STANDARD,2,1,3,1,3,0,0,10.6,2.25,0.518,0.384,1.415,2.59,1.92,2.849,2.0,2,3,7,19,22
5,2,3,1,STANDARD,1,0,0,0,3,2,1,13.6,0.75,0.241,0.228,1.103,1.205,1.14,1.153,1.0,8,8,13,17,22
5,2,4,2,STANDARD,1,1,1,0,3,1,0,12.6,0.75,0.295,0.201,1.19,1.475,1.005,0.591,1.0,5,10,11,16,21
5,3,1,1,STANDARD,1,0,1,0,3,1,0,12.8,0.75,0.308,0.212,1.172,1.54,1.06,0.591,1.0,4,8,14,17,21
5,3,2,2,STANDARD,1,1,2,0,3,0,0,12.6,0,0.347,0.211,1.19,1.735,1.055,1.315,1.0,3,5,16,17,22
5,3,3,1,STANDARD,1,0,1,1,4,0,0,14.2,1,0.286,0.244,1.056,1.43,1.22,0.519,1.0,1,11,13,22,24
5,3,4,2,STANDARD,2,1,2,0,3,1,1,10.6,0.75,0.383,0.271,1.415,1.915,1.355,1.315,1.0,6,7,10,11,19
5,4,1,1,STANDARD,2,0,2,0,3,1,1,9.0,0.75,0.472,0.345,1.667,2.36,1.725,1.315,2.0,3,4,10,11,17
5,4,2,2,STANDARD,0,1,0,0,3,0,0,16.2,0,0.102,0.049,0.926,0.51,0.245,0.098,0.0,11,13,16,19,22
5,4,3,1,STANDARD,1,0,2,1,3,1,0,12.4,1.75,0.427,0.336,1.21,2.135,1.68,2.23,2.0,2,7,8,21,24
5,4,4,2,STANDARD,2,1,2,1,3,0,0,10.6,1,0.435,0.303,1.415,2.175,1.515,1.736,2.0,1,5,14,14,19
5,5,1,1,STANDARD,2,0,3,0,3,0,0,9.4,1.25,0.479,0.291,1.596,2.395,1.455,2.427,2.0,4,6,7,11,19
5,5,2,2,STANDARD,2,1,1,0,3,1,1,12.4,0.75,0.301,0.204,1.21,1.505,1.02,0.591,1.0,5,8,14,16,19
5,5,3,1,STANDARD,0,0,1,1,4,0,0,15.2,1,0.208,0.173,0.987,1.04,0.865,0.519,1.0,2,13,17,22,22
5,5,4,2,STANDARD,1,1,1,1,3,1,0,12.0,1.75,0.395,0.317,1.25,1.975,1.585,1.506,1.0,1,10,11,14,24
5,6,1,1,STANDARD,0,0,1,0,3,1,0,12.8,0.75,0.291,0.2,1.172,1.455,1.0,0.591,1.0,5,10,11,17,21
5,6,2,2,STANDARD,2,1,3,0,2,0,0,10.4,2.25,0.582,0.318,1.442,2.91,1.59,2.427,2.0,3,4,6,17,22
5,6,3,1,STANDARD,1,0,1,1,4,1,1,11.8,1.75,0.345,0.291,1.271,1.725,1.455,1.506,1.0,2,8,11,14,24
5,6,4,2,STANDARD,2,1,2,1,4,0,0,13.0,1,0.325,0.283,1.154,1.625,1.415,1.736,1.0,1,7,16,19,22
